trace_file,num_of_steps,success,done,total_reward,error,early_stop,total_prompt_token,total_in_token_accumulated,total_in_token_message_accumulated,total_out_token_accumulated,total_history_token,total_hint_prompt_token,total_hint_completion_token,expert_difficulty,category
fixed_0.json,15,0,0,0.0,1,0,554,14557,14557,477,1241,,,14.659,beauty
fixed_1.json,6,0,1,0.5,0,1,554,4655,4655,82,1119,,,7.673,fashion
fixed_2.json,11,0,1,0.5,1,1,554,12542,12542,192,1756,,,12.573,beauty
fixed_3.json,6,0,1,0.0,0,1,554,4801,4801,92,1184,,,7.673,fashion
fixed_4.json,6,1,1,1.0,0,1,554,4173,4173,81,967,,,7.673,fashion
fixed_5.json,4,0,1,0.6666666666666666,0,1,554,2448,2448,50,1002,,,4.473,beauty
fixed_6.json,6,0,1,0.6,0,1,554,5847,5847,100,1503,,,7.673,furniture
fixed_7.json,5,1,1,1.0,0,1,554,4202,4202,86,1399,,,6.073,furniture
fixed_8.json,4,0,1,0.25,0,1,554,2256,2256,57,882,,,4.473,beauty
fixed_9.json,5,1,1,1.0,0,1,554,3628,3628,72,1093,,,6.073,electronics
fixed_10.json,5,0,1,0.6666666666666666,0,1,554,3245,3245,58,951,,,6.073,beauty
fixed_11.json,5,0,1,0.5,0,1,554,3441,3441,69,1034,,,6.073,fashion
fixed_12.json,5,0,1,0.6,0,1,554,3465,3465,76,1054,,,6.073,furniture
fixed_13.json,4,0,1,0.4,0,1,554,2399,2399,51,969,,,4.473,beauty
fixed_14.json,4,0,1,0.6666666666666666,0,1,554,2279,2279,53,902,,,4.473,beauty
fixed_15.json,4,1,1,1.0,0,1,554,2300,2300,49,906,,,4.473,furniture
fixed_16.json,7,0,1,0.25,1,1,554,5691,5691,110,1218,,,9.473,furniture
fixed_17.json,5,1,1,1.0,0,1,554,3245,3245,71,955,,,6.073,food
fixed_18.json,6,0,1,0.5,0,1,554,4391,4391,74,1034,,,7.673,fashion
fixed_19.json,5,1,1,1.0,0,1,554,3618,3618,78,1074,,,6.073,electronics
fixed_20.json,5,0,1,0.75,0,1,554,3306,3306,78,990,,,6.073,food
fixed_21.json,5,0,1,0.0666666666666666,0,1,554,3371,3371,66,1009,,,6.073,electronics
fixed_22.json,4,1,1,1.0,0,1,554,2401,2401,47,975,,,4.473,beauty
fixed_23.json,9,0,1,0.4,1,1,554,9016,9016,131,1451,,,12.673,furniture
fixed_24.json,4,0,1,0.6666666666666666,0,1,554,2338,2338,56,926,,,4.473,food
fixed_25.json,5,0,1,0.075,0,1,554,3284,3284,70,978,,,6.073,furniture
fixed_26.json,5,1,1,1.0,0,1,554,3609,3609,68,1116,,,6.073,food
fixed_27.json,6,0,1,0.3333333333333333,1,1,554,4239,4239,88,1025,,,8.473,food
fixed_28.json,8,1,1,1.0,1,1,554,6836,6836,144,1176,,,11.673,furniture
fixed_29.json,5,0,1,0.75,0,1,554,3348,3348,64,1001,,,6.073,fashion
fixed_30.json,15,0,0,0.0,1,0,554,22753,22753,334,2571,,,16.373,beauty
fixed_31.json,5,1,1,1.0,0,1,554,3331,3331,74,976,,,6.073,furniture
fixed_32.json,6,0,1,0.3333333333333333,0,1,554,4309,4309,76,1024,,,7.673,fashion
fixed_33.json,5,1,1,1.0,0,1,554,3319,3319,64,991,,,6.073,fashion
fixed_34.json,12,0,1,0.75,1,1,554,15397,15397,222,2190,,,13.673,furniture
fixed_35.json,5,0,1,0.3333333333333333,0,1,554,3751,3751,82,1158,,,6.073,electronics
fixed_36.json,15,0,1,0.75,1,0,554,21251,21251,200,2177,,,17.273,fashion
fixed_37.json,6,0,1,0.75,0,1,554,4109,4109,79,964,,,7.673,fashion
fixed_38.json,5,1,1,1.0,0,1,554,3402,3402,59,1015,,,6.073,electronics
fixed_39.json,7,0,1,0.6666666666666666,1,1,554,5543,5543,108,1129,,,10.073,fashion
fixed_40.json,6,0,1,0.0,0,1,554,4367,4367,86,1027,,,7.673,fashion
fixed_41.json,4,1,1,1.0,0,1,554,2298,2298,48,931,,,4.473,beauty
fixed_42.json,4,0,1,0.6666666666666666,0,1,554,2292,2292,49,905,,,4.473,food
fixed_43.json,5,0,1,0.5,0,1,554,3359,3359,85,997,,,6.073,fashion
fixed_44.json,6,0,1,0.75,0,1,554,4286,4286,88,1021,,,7.673,food
fixed_45.json,6,0,1,0.3333333333333333,0,1,554,4390,4390,83,1049,,,7.673,food
fixed_46.json,5,1,1,1.0,0,1,554,3369,3369,65,1002,,,6.073,electronics
fixed_47.json,4,0,1,0.75,0,1,554,2317,2317,52,918,,,4.473,food
fixed_48.json,4,0,1,0.0,0,1,554,2352,2352,54,951,,,4.473,beauty
fixed_49.json,4,0,1,0.3333333333333333,0,1,554,2323,2323,56,931,,,4.473,beauty
fixed_50.json,4,0,1,0.3333333333333333,0,1,554,2338,2338,47,934,,,4.473,food
fixed_51.json,6,1,1,1.0,0,1,554,4374,4374,85,1045,,,7.673,beauty
fixed_52.json,4,0,1,0.3333333333333333,0,1,554,2280,2280,48,905,,,4.473,beauty
fixed_53.json,4,0,1,0.6666666666666666,0,1,554,2353,2353,50,948,,,4.473,beauty
fixed_54.json,5,1,1,1.0,0,1,554,3458,3458,69,1041,,,6.073,furniture
fixed_55.json,5,0,1,0.7142857142857143,0,1,554,3271,3271,68,965,,,6.073,furniture
fixed_56.json,7,0,1,0.75,1,1,554,5298,5298,90,1036,,,9.273,fashion
fixed_57.json,4,1,1,1.0,0,1,554,2345,2345,51,939,,,4.473,food
fixed_58.json,5,0,1,0.75,0,1,554,3259,3259,60,954,,,6.073,beauty
fixed_59.json,4,0,1,0.0,0,1,554,2284,2284,48,901,,,4.473,food
fixed_60.json,5,0,1,0.25,0,1,554,3264,3264,66,955,,,6.073,electronics
fixed_61.json,4,0,1,0.3333333333333333,0,1,554,2427,2427,51,984,,,4.473,electronics
fixed_62.json,5,0,1,0.05,0,1,554,3426,3426,65,1009,,,6.073,food
fixed_63.json,6,0,1,0.6,0,1,554,6056,6056,100,1584,,,7.673,fashion
fixed_64.json,6,1,1,1.0,0,1,554,4666,4666,93,1128,,,7.673,beauty
fixed_65.json,15,0,0,0.0,1,0,554,22209,22209,273,1917,,,14.473,electronics
fixed_66.json,5,0,1,0.6666666666666666,0,1,554,3346,3346,68,990,,,6.073,fashion
fixed_67.json,15,0,0,0.0,1,0,554,18602,18602,791,1553,,,14.659,electronics
fixed_68.json,6,0,1,0.6666666666666666,0,1,554,4489,4489,87,1062,,,7.673,furniture
fixed_69.json,5,0,1,0.6666666666666666,0,1,554,3726,3726,83,1155,,,6.073,electronics
fixed_70.json,5,1,1,1.0,0,1,554,3354,3354,67,997,,,6.073,food
fixed_71.json,7,0,1,0.6666666666666666,1,1,554,5818,5818,109,1269,,,9.473,beauty
fixed_72.json,5,0,1,0.5,0,1,554,3323,3323,72,986,,,6.073,fashion
fixed_73.json,5,1,1,1.0,0,1,554,3404,3404,72,1003,,,6.073,beauty
fixed_74.json,5,0,1,0.6666666666666666,0,1,554,3356,3356,64,990,,,6.073,electronics
fixed_75.json,5,0,1,0.08,0,1,554,3394,3394,73,1004,,,6.073,electronics
fixed_76.json,5,0,1,0.6666666666666666,0,1,554,3853,3853,91,1205,,,6.073,electronics
fixed_77.json,6,1,1,1.0,0,1,554,5888,5888,83,1545,,,7.673,food
fixed_78.json,6,1,1,1.0,0,1,554,4903,4903,88,1191,,,7.673,electronics
