asin,category,query,name,product_category,instruction_text,attributes,goal_options,weight
B09P1QKG2T,beauty,mirrors,"12 Colors Chrome Nail Powder Pen Holographic Nails Powder with Mirror Effect, Manicure Cushion, Laser Gold and Silver Colored Phantom Nail Solid Loose Powder Nail Art Design Tool","Beauty & Personal Care › Foot, Hand & Nail Care › Nail Art & Polish › Nail Art Accessories › Glitters","i am looking for a glitters nail polish. also, choose the 04# color",['nail polish'],['04#'],1
B08QHX6692,fashion,women's shorts,WDIRARA Women's Dragon Print Drawstring Waist Workout Shorts with Pocket,"Clothing, Shoes & Jewelry › Women › Clothing › Active › Active Shorts",i'm looking for a pair of women's workout shorts with a drawstring waist. i need them to be extra large and in light gray,['drawstring waist'],"['light grey', 'x-large']",1
B07RQKXNHR,beauty,makeup brushes & tools,Xiton Makeup Brush 8 pieces Makeup Brushes Set Magic Sailor Moon Makeup Brush Sakura Cosmetic Makeup Tool Kit Powder Liquid Cream Applicator Pink Drawstring Bag Included(Pink&Gold),Beauty & Personal Care › Tools & Accessories › Makeup Brushes & Tools › Brush Sets,i am interested in a high quality brush set,['high quality'],[],1
B0179PDSNO,fashion,men's work & safety footwear,Honeywell Ademco mens Nubuck Brown,"Clothing, Shoes & Jewelry › Men",i would like a men's rubber sole shoe with a size 7.5,"['rubber outsole', 'rubber sole']",['7.5'],1
B085GCJ1YK,fashion,women's shorts,Fit 4 U Women's Solid Bike Short,"Clothing, Shoes & Jewelry › Women › Clothing › Swimsuits & Cover Ups › Bikinis › Bottoms",i am looking for a black bike short that is made of nylon spandex. pick a size 16,['nylon spandex'],"['black', '16']",1
B07XD615H3,beauty,hair treatment oils,"Maui Moisture Shine + Awapuhi Moisturizing Vegan Conditioner with Oils for Shiny Hair Silicone & SulfateFree Surfactant Aloe Conditioner to Hydrate Detangle Hair, Coconut, 13 Fl Oz",Beauty & Personal Care › Hair Care › Shampoo & Conditioner › Conditioners,i want a maui moisture shine conditioner for dry hair,['dry hair'],['conditioner'],1
B07HBDV8Z5,garden,living room sets,"SAFAVIEH Madison Collection MAD603G Oriental Snowflake Medallion Distressed Non-Shedding Living Room Bedroom Dining Home Office Area Rug, 8' x 10', Silver / Ivory","Home & Kitchen › Home Décor Products › Rugs, Pads & Protectors › Area Rugs",find me a 2 ft 3 in x 14 ft sized living room square rug in either navy or cream color,['living room'],"['cream  |  navy', 'square', '2 ft 3 in x 14 ft']",1
B09KG8KSRT,garden,living room sets,"wall26 Framed Canvas Wall Art Print Set Black and Gold Swirling Ink Collage Abstract Patterns Illustrations Modern Art Mid-Century Modern Colorful for Living Room, Bedroom, Office - 16""x24""x3 Natural",Home & Kitchen › Wall Art › Posters & Prints,"i need to buy a wall art print for my living room in a natural 16"" x 24"" x 3",['living room'],"['16"" x 24"" x 3 panels natural']",1
B00EOXEPRI,beauty,body care,Unscented Original Udder Balm Moisturizer Tube,Beauty & Personal Care › Skin Care › Body › Moisturizers,"original udder balm moisturizer  is my choice . please give me fragrance free, 16 oz pump","['fragrance free', 'bpa free']",['16 oz pump'],1
B09FXVS6QB,electronics,streaming media players,"PVGZMB Android 11.0 TV Box, Android Box 4GB RAM 128GB ROM RK3318 Quad-Core Smart Android TV Box 64Bit, Support 2.4G 5.0G Dual WiFi 4K Utral HD H.264 with Bluetooth 5.0,4gb+128gb",Electronics › Television & Video › Streaming Media Players,i am looking for a dual band streaming player that has 4gb of ram and 64gb of storage,['dual band'],['4gb+64gb'],1
B092CP85HK,beauty,eyes makeup,Kilshye Shimmer Liquid Eyeshadow Glitter Eyeshadows High Pigment Eye Shadow Waterproof Long Lasting Eyes Makeup for Women and Girls Pack of 1 (Purple 6),Beauty & Personal Care › Makeup › Eyes › Eyeshadow,i need a long lasting white eye shadow,['long lasting'],['white 1'],1
B0834QQR5F,fashion,men's mules & clogs,Crocs Unisex-Adult Classic Animal Clogs | Leopard Print Shoes for Women,"Clothing, Shoes & Jewelry › Women › Shoes › Mules & Clogs",i am looking for a  electric pink zebra mules & clogs of ethylene vinyl,['ethylene vinyl'],['electric pink zebra'],1
